31/03/2026,စုစုပေါင်း,လျှော့ငွေ,,,Whole Sale,,,အကြွေး,,,အ‌ရေအတွက်,စက်စာရင်း,"အကြွေ
  ထုတ်ပေးငွေ","စက်စာရင်း
+
အကြွေ",ငွေသားရငွေ,ဘဏ်အကောင့်,,,,,,ပို/လို (-)
ကုမ္ပဏီအမည်,,YSB,လက်ဆောင်,ရုံးလျှော့,"ဝယ်သူ
 အမည်",ကုမ္ပဏီ,စုစုပေါင်း,"ဝယ်သူ
 အမည်",ကုမ္ပဏီ,စုစုပေါင်း,,,,,,"Kpay
 (ကိုယ်ပိုင်)",MM (QR),"AYA
(Pay)","KBZ
 (အကောင့်)","AYA
(အကောင့်)","MAB
(အကောင့်)",
,,,,,,,,,,,,,,,,,,,,,,
Paul Mitchell,"1,103,000","110,300",,,,,,,,,9,"26,862,951","86,000","26,948,951","13,560,650","7,660,950","3,478,000","672,800","1,576,400",,,-151
Kanebo (F1),"1,800,000","270,000",,,,,,,,,1,"26,862,951","86,000","26,948,951","13,560,650","7,660,950","3,478,000","672,800","1,576,400",,,-151
Loreal,,,,,,,,,,,,,,,,,,,,,,-
Maybelline,,,,,,,,,,,,,,,,,,,,,,-
Coolors,"357,150","35,715",,,,,,,,,7,"26,862,951","86,000","26,948,951","13,560,650","7,660,950","3,478,000","672,800","1,576,400",,,-151
Revlon,"118,300",,,,ဝင်းမာလာ ,Revlon,"59,500",,,,3,"26,862,951","86,000","26,948,951","13,560,650","7,660,950","3,478,000","672,800","1,576,400",,,-151
Revlon (WS),"14,174,200",,,,,,,Angel ( ပြင်ဦးလွင် ),Revlon (WS),"1,834,200",,"26,862,951","86,000","26,948,951","13,560,650","7,660,950","3,478,000","672,800","1,576,400",,,-151
Masuri,"109,000","10,900",,,,,,,,,2,"26,862,951","86,000","26,948,951","13,560,650","7,660,950","3,478,000","672,800","1,576,400",,,-151
Dabo,"5,620,500","23,550",,,မခင်မျိုးမြင့် ( MDY ),Dabo,"2,508,000",,,,169,"26,862,951","86,000","26,948,951","13,560,650","7,660,950","3,478,000","672,800","1,576,400",,,-151
Eushido,"49,300","4,550",,,,,,,,,3,"26,862,951","86,000","26,948,951","13,560,650","7,660,950","3,478,000","672,800","1,576,400",,,-151
Coreana,"115,200","11,520",,,,,,,,,4,"26,862,951","86,000","26,948,951","13,560,650","7,660,950","3,478,000","672,800","1,576,400",,,-151
Kose,"56,850","5,685",,,,,,,,,1,"26,862,951","86,000","26,948,951","13,560,650","7,660,950","3,478,000","672,800","1,576,400",,,-151
Canmake,"213,000","21,300",,,,,,,,,5,"26,862,951","86,000","26,948,951","13,560,650","7,660,950","3,478,000","672,800","1,576,400",,,-151
Catrice,"93,500","9,350",,,,,,,,,2,"26,862,951","86,000","26,948,951","13,560,650","7,660,950","3,478,000","672,800","1,576,400",,,-151
Beauty Buffet,,,,,,,,,,,,,,,,,,,,,,-
Follow Me,"1,185,900",,,,ကိုရခိုင် ( ကွတ်ခိုင် ),Follow Me,"1,023,500",,,,22,"26,862,951","86,000","26,948,951","13,560,650","7,660,950","3,478,000","672,800","1,576,400",,,-151
Follow Me (WS),,,,,,,,,,,,,,,,,,,,,,-
BSC,,,,,,,,,,,,,,,,,,,,,,-
ARTY,"100,100","10,010",,,,,,,,,1,"26,862,951","86,000","26,948,951","13,560,650","7,660,950","3,478,000","672,800","1,576,400",,,-151
KMA,"2,356,100","469,800",,,ဦးရီသောင်း ,KMA,"1,879,200",,,,46,"26,862,951","86,000","26,948,951","13,560,650","7,660,950","3,478,000","672,800","1,576,400",,,-151
Pastel,"18,000","1,800",,,,,,,,,1,"26,862,951","86,000","26,948,951","13,560,650","7,660,950","3,478,000","672,800","1,576,400",,,-151
,,,,,,,,,,,,,,,,,,,,,,
C'Care,,,,,,,,,,,,,,,,,,,,,,-
Farm Stay,"83,500","8,100",,,,,,,,,4,"26,862,951","86,000","26,948,951","13,560,650","7,660,950","3,478,000","672,800","1,576,400",,,-151
For The Skin,"918,190","104,529",,,,,,,,,61,"26,862,951","86,000","26,948,951","13,560,650","7,660,950","3,478,000","672,800","1,576,400",,,-151
Garnier,"16,300",,,,,,,,,,2,"26,862,951","86,000","26,948,951","13,560,650","7,660,950","3,478,000","672,800","1,576,400",,,-151
Holika,"480,400",,,,,,,,,,10,"26,862,951","86,000","26,948,951","13,560,650","7,660,950","3,478,000","672,800","1,576,400",,,-151
Jejudo,"44,500","4,450",,,,,,,,,1,"26,862,951","86,000","26,948,951","13,560,650","7,660,950","3,478,000","672,800","1,576,400",,,-151
JM Solution,"67,200","6,280",,,,,,,,,3,"26,862,951","86,000","26,948,951","13,560,650","7,660,950","3,478,000","672,800","1,576,400",,,-151
Kanebo (F2),"281,000","38,750",,,,,,,,,3,"26,862,951","86,000","26,948,951","13,560,650","7,660,950","3,478,000","672,800","1,576,400",,,-151
Kiss Me,,,,,,,,,,,,,,,,,,,,,,-
Kracie,,,,,,,,,,,,,,,,,,,,,,-
