"sale_date","group_name"
"16/03/2026 2:46 PM","Accessories"
"16/03/2026 2:46 PM","Arty"
"16/03/2026 2:46 PM","Baby Care"
"16/03/2026 2:46 PM","Bags & Wallets"
"16/03/2026 2:46 PM","Bath & Body"
"16/03/2026 2:46 PM","Beauty Buffet"
"16/03/2026 2:46 PM","BSC"
"16/03/2026 2:46 PM","Canmake"
"16/03/2026 2:46 PM","Catrice"
"16/03/2026 2:46 PM","C'Care"
"16/03/2026 2:46 PM","Coolors"
"16/03/2026 2:46 PM","Coreana"
"16/03/2026 2:46 PM","Dabo"
"16/03/2026 2:46 PM","Electronic Products"
"16/03/2026 2:46 PM","Eushido"
"16/03/2026 2:46 PM","Farm Stay"
"16/03/2026 2:46 PM","Fat-loss products"
"16/03/2026 2:46 PM","Follow Me"
"16/03/2026 2:46 PM","For The Skin"
"16/03/2026 2:46 PM","Garnier"
"16/03/2026 2:46 PM","Hair Care"
"16/03/2026 2:46 PM","Holika"
"16/03/2026 2:46 PM","Jejudo"
"16/03/2026 2:46 PM","JM Solution"
"16/03/2026 2:46 PM","Kanebo"
"16/03/2026 2:46 PM","Kiss Me"
"16/03/2026 2:46 PM","KMA"
"16/03/2026 2:46 PM","Kose"
"16/03/2026 2:46 PM","Kracie"
"16/03/2026 2:46 PM","LIFE"
"16/03/2026 2:46 PM","Loreal"
"16/03/2026 2:46 PM","Makeup"
"16/03/2026 2:46 PM","Masuri"
"16/03/2026 2:46 PM","Maybelline"
"16/03/2026 2:46 PM","Meishoku"
"16/03/2026 2:46 PM","Nivea"
"16/03/2026 2:46 PM","Pastel"
"16/03/2026 2:46 PM","Paul Mitchell"
"16/03/2026 2:46 PM","Perfume"
"16/03/2026 2:46 PM","Revlon"
"16/03/2026 2:46 PM","Sets Package"
"16/03/2026 2:46 PM","Skin Care"
"16/03/2026 2:46 PM","Wet n Wild"
